name,cloneof,description,year,manufacturer
88games,,'88 Games,1988,Konami
flagrall,,'96 Flag Rally,1996,unknown
99lstwarb,repulse,'99: The Last War (bootleg),1985,bootleg
99lstwark,repulse,'99: The Last War (Kyugo),1985,Crux / Kyugo
99lstwar,repulse,'99: The Last War (set 1),1985,Crux / Proma
99lstwara,repulse,'99: The Last War (set 2),1985,Crux / Proma
10yard85,10yard,"10-Yard Fight '85 (US, Taito license)",1985,Irem (Taito license)
10yardj,10yard,10-Yard Fight (Japan),1983,Irem
10yard,,"10-Yard Fight (World, set 1)",1983,Irem
gtmro,gtmr,1000 Miglia: Great 1000 Miles Rally (94/05/10),1994,Kaneko
gtmrb,gtmr,1000 Miglia: Great 1000 Miles Rally (94/05/26),1994,Kaneko
gtmra,gtmr,1000 Miglia: Great 1000 Miles Rally (94/06/13),1994,Kaneko
gtmr,,1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18),1994,Kaneko
cprogolf18,cprogolf,18 Challenge Pro Golf (DECO Cassette) (Japan),1982,Data East Corporation
progolf,,18 Holes Pro Golf (set 1),1981,Data East Corporation
1941u,1941,1941 - Counter Attack (900227 USA),1990,Capcom
1941,,1941 - Counter Attack (900227 World),1990,Capcom
1941j,1941,1941 - Counter Attack (Japan),1990,Capcom
1941r1,1941,1941 - Counter Attack (World),1990,Capcom
1942c64,1942,1942 (C64 Music),2015,hack by Minwah
1942b,1942,1942 (First Version),1984,Capcom
1942a,1942,1942 (Revision A),1984,Capcom
1942abl,1942,"1942 (Revision A, bootleg)",1984,Capcom
1942,,1942 (Revision B),1984,Capcom
1942w,1942,1942 (Williams Electronics license),1985,Capcom (Williams Electronics license)
1943kai,,1943 Kai: Midway Kaisen (Japan),1987,Capcom
1943bj,1943,1943: Midway Kaisen (bootleg),1987,bootleg
1943ja,1943,1943: Midway Kaisen (Japan),1987,Capcom
1943jah,1943,"1943: Midway Kaisen (Japan, no protection hack)",1987,Capcom
1943jaha,1943,"1943: Midway Kaisen (Japan, no protection hack, alt)",1987,Capcom
1943j,1943,"1943: Midway Kaisen (Japan, Rev B)",1987,Capcom
1943b,1943,"1943: The Battle of Midway (bootleg set 1, hack of Japan set)",1987,bootleg
1943b2,1943,"1943: The Battle of Midway (bootleg set 2, hack of Japan set)",1987,bootleg
1943,,1943: The Battle of Midway (Euro),1987,Capcom
1943ua,1943,1943: The Battle of Midway (US),1987,Capcom
1943u,1943,"1943: The Battle of Midway (US, Rev C)",1987,Capcom
1943mii,,1943: The Battle of Midway Mark II (US),1988,Capcom
1944,,1944 - the loop master (000620 Euro),2000,Eighting / Raizing (Capcom license)
1944j,1944,1944 - the loop master (000620 Japan),2000,Eighting / Raizing (Capcom license)
1944d,1944,1944 - the loop master (000620 USA Phoenix Edition),2000,bootleg
1944ad,1944,"1944 - the loop master (000620 USA Phoenix Edition, alt)",2000,bootleg
1944u,1944,1944 - the loop master (000620 USA),2000,Eighting / Raizing (Capcom license)
bgareggabl,bgaregga,1945 Part 2 (Chinese hack of Battle Garegga),1996,hack
1945kiiin,1945kiii,"1945k III (newer, OPCX1 PCB)",2000,Oriental Soft
1945kiii,,"1945k III (newer, OPCX2 PCB)",2000,Oriental Soft
1945kiiio,1945kiii,"1945k III (older, OPCX1 PCB)",1999,Oriental Soft
19xxar1,19xx,19XX - the war against destiny (951207 Asia),1995,Capcom
19xxjr2,19xx,19XX - the war against destiny (951207 Japan),1995,Capcom
19xxd,19xx,19XX - the war against destiny (951207 USA Phoenix Edition),1995,bootleg
19xxu,19xx,19XX - the war against destiny (951207 USA),1995,Capcom
19xxb,19xx,19XX - the war against destiny (951218 Brazil),1995,Capcom
19xxh,19xx,19XX - the war against destiny (951218 Hispanic),1995,Capcom
19xxjr1,19xx,19XX - the war against destiny (951225 Japan),1995,Capcom
19xxa,19xx,19XX - the war against destiny (960104 Asia),1995,Capcom
19xx,,19XX - the war against destiny (960104 Euro),1995,Capcom
19xxj,19xx,"19XX - the war against destiny (960104 Japan, yellow case)",1996,Capcom
openice,,2 On 2 Open Ice Challenge (rev 1.21),1995,Midway
openicea,openice,2 On 2 Open Ice Challenge (rev 1.2A),1995,Midway
2020bb,,2020 Super Baseball (set 1),1991,SNK / Pallas
2020bba,2020bb,2020 Super Baseball (set 2),1991,SNK / Pallas
2020bbh,2020bb,2020 Super Baseball (set 3),1991,SNK / Pallas
3countb,,3 Count Bout / Fire Suplex (NGM-043)(NGH-043),1993,SNK
3countba,3countb,3 Count Bout / Fire Suplex (NGM-043),1993,SNK
3on3dunk,,"3 On 3 Dunk Madness (US, prototype? 1997/02/04)",1996,Video System Co.
3x3puzzl,,3X3 Puzzle (Enterprise),1998,Ace Enterprise
3x3puzzla,3x3puzzl,3X3 Puzzle (Normal),1998,Ace Enterprise
4enraya,,4 En Raya (set 1),1990,IDSA
4enrayaa,4enraya,4 En Raya (set 2),1990,IDSA
4in1,,4 Fun in 1,1981,Armenia / Food and Fun
4play,,4 player input test,???,SNK
4dwarrio,,4-D Warriors (315-5162),1985,Coreland / Sega
600,turtles,600,1981,Konami
64streetja,64street,"64th. Street - A Detective Story (Japan, alt)",1991,Jaleco
64streetj,64street,"64th. Street - A Detective Story (Japan, set 1)",1991,Jaleco
64street,,64th. Street - A Detective Story (World),1991,Jaleco
7ordi,,7 Ordi (Korea),2002,Yun Sung
800fatha,mariner,800 Fathoms (older),1981,Amenip (US Billiards Inc. license)
800fath,mariner,800 Fathoms,1981,Amenip (US Billiards Inc. license)
ablast,penbros,A-Blast (Japan),2000,Subsino
abcopjd,abcop,"A.B. Cop (Japan, FD1094 317-0169b decrypted)",1990,Sega
abcopj,abcop,"A.B. Cop (Japan, FD1094 317-0169b)",1990,Sega
abcopd,abcop,"A.B. Cop (World, FD1094 317-0169b decrypted)",1990,Sega
abcop,,"A.B. Cop (World, FD1094 317-0169b)",1990,Sega
ad2083,,A.D. 2083,1983,Midcoin
abscam,puckman,Abscam,1981,GL (US Billiards License)
aceattac,,Ace Attacker (FD1094 317-0059),1988,Sega
aceattaca,aceattac,"Ace Attacker (Japan, System 16A, FD1094 317-0060)",1986,Sega
