name,cloneof,description,year,manufacturer
puckman,,PuckMan (Japan set 1),1980,Namco
puckmana,puckman,PuckMan (Japan set 2),1980,Namco
pacman,puckman,Pac-Man (Midway),1980,[Namco] (Midway license)
pacmanf,puckman,Pac-Man (speedup hack),1980,hack
puckmod,puckman,PuckMan (harder[Q]),1981,Namco
pacmod,puckman,"Pac-Man (Midway, harder)",1981,[Namco] (Midway license)
hangly,puckman,Hangly-Man (set 1),1981,hack
hangly2,puckman,Hangly-Man (set 2),1981,hack
hangly3,puckman,Hangly-Man (set 3),1981,hack
newpuckx,puckman,New Puck-X,1980,hack
pacheart,puckman,Pac-Man (Hearts),1981,hack
joyman,puckman,Joyman,1982,hack
newpuc2,puckman,Newpuc2,1980,hack
newpuc2b,puckman,Newpuc2 (set 2),1980,hack
piranha,puckman,Piranha,1981,GL (US Billiards License)
piranhao,puckman,Piranha (older),1981,GL (US Billiards License)
piranhah,puckman,Piranha (hack),1981,hack
nmouse,,Naughty Mouse (set 1),1981,Amenip (Palcom Queen River)
nmouseb,nmouse,Naughty Mouse (set 2),1981,Amenip Nova Games Ltd.
pacplus,,Pac-Man Plus,1982,[Namco] (Midway license)
mspacman,,Ms. Pac-Man,1981,Midway
mspacmnf,mspacman,Ms. Pac-Man (speedup hack),1981,hack
mspacmab,mspacman,Ms. Pac-Man (bootleg),1981,bootleg
mspacmat,mspacman,Ms. Pac Attack,1981,hack
mspacpls,mspacman,Ms. Pac-Man Plus,1981,hack
pacgal,mspacman,Pac-Gal,1981,hack
mschamp,mspacman,Ms. Pacman Champion Edition - Super Zola Pac Gal,1995,hack
mspactwin,,Ms. Pac-Man Twin (Argentina),1992,SUSILU
maketrax,crush,Make Trax (set 1),1981,[Kural] (Williams license)
maketrxb,crush,Make Trax (set 2),1981,[Kural] (Williams license)
korosuke,crush,Korosuke Roller,1981,Kural Electric
crush,,Crush Roller (Kural Samno),1981,Kural Samno Electric
crush2,crush,Crush Roller (Kural Esco - bootleg[Q]),1981,Kural Esco Electric
crush3,crush,Crush Roller (Kural - bootleg[Q]),1981,Kural Electric
mbrush,crush,Magic Brush,1981,bootleg
paintrlr,crush,Paint Roller,1981,bootleg
eyes,,Eyes (Digitrex Techstar),1982,Digitrex Techstar (Rock-ola license)
eyes2,eyes,Eyes (Techstar),1982,Techstar (Rock-ola license)
mrtnt,,Mr. TNT,1983,Telko
gorkans,mrtnt,Gorkans,1983,Techstar
eggor,,Eggor,1983,Telko
ponpoko,,Ponpoko,1982,Sigma Enterprises Inc.
ponpokov,ponpoko,Ponpoko (Venture Line),1982,Sigma Enterprises Inc. (Venture Line license)
lizwiz,,Lizard Wizard,1985,Techstar (Sunn license)
theglobp,suprglob,The Glob (Pac-Man hardware),1983,Epos Corporation
beastf,suprglob,Beastie Feastie,1984,Epos Corporation
acitya,bwcasino,Atlantic City Action,1983,Epos Corporation
bwcasino,,Boardwalk Casino,1983,Epos Corporation
dremshpr,,Dream Shopper,1982,Sanritsu
vanvan,,Van-Van Car,1983,Sanritsu
vanvank,vanvan,Van-Van Car (Karateco),1983,Karateco
alibaba,,Ali Baba and 40 Thieves,1982,Sega
alibabab,alibaba,Mustafa and 40 Thieves (bootleg),1982,bootleg
pengo,,Pengo (set 1 rev c),1982,Sega
pengo2,pengo,Pengo (set 2),1982,Sega
pengo2u,pengo,Pengo (set 2 not encrypted),1982,Sega
pengo3u,pengo,Pengo (set 3 not encrypted),1982,Sega
pengob,pengo,Pengo (bootleg),1982,bootleg
penta,pengo,Penta,1982,bootleg
jrpacman,,Jr. Pac-Man,1983,Bally Midway
jrpacmnf,jrpacman,Jr. Pac-Man (speedup hack),1983,hack
jumpshot,,Jump Shot,1985,Bally Midway
shootbul,,Shoot the Bull,1985,Bally Midway
bigbucks,,Big Bucks,1986,Dynasoft Inc.
drivfrcp,,Driving Force (Pac-Man conversion),1984,Shinkai Inc. (Magic Eletronics Inc. licence)
8bpm,8ballact,Eight Ball Action (Pac-Man conversion),1985,Seatongrove Ltd (Magic Eletronics USA licence)
porky,,Porky,1985,Shinkai Inc. (Magic Eletronics Inc. licence)
megadon,,Megadon,1982,Epos Corporation (Photar Industries license)
catapult,,Catapult,1982,Epos Corporation
eeekk,,Eeekk!,1983,Epos Corporation
suprglob,,Super Glob,1983,Epos Corporation
theglob,suprglob,The Glob,1983,Epos Corporation
theglob2,suprglob,The Glob (earlier),1983,Epos Corporation
theglob3,suprglob,The Glob (set 3),1983,Epos Corporation
igmo,,IGMO,1984,Epos Corporation
dealer,,The Dealer,19??,Epos Corporation
galaxian,,Galaxian (Namco set 1),1979,Namco
galaxiaj,galaxian,Galaxian (Namco set 2),1979,Namco
galmidw,galaxian,Galaxian (Midway),1979,[Namco] (Midway license)
galmidwo,galaxian,"Galaxian (Midway, old rev)",1979,[Namco] (Midway license)
superg,galaxian,Super Galaxians,1979,hack
galapx,galaxian,Galaxian Part X,1979,hack
moonaln,galaxian,Moon Alien,1979,[Nichibutsu] (Karateco license)
galap1,galaxian,Space Invaders Galactica,1979,hack
galap4,galaxian,Galaxian Part 4,1979,hack
galturbo,galaxian,Galaxian Turbo,1979,hack
swarm,galaxian,Swarm,1979,hack
zerotime,galaxian,Zero Time,1979,Petaco S.A.
tst_galx,galaxian,Galaxian Test ROM,19??,Test ROM
gmgalax,,Ghostmuncher Galaxian (bootleg),1981,bootleg
pisces,,Pisces,19??,Subelectro
piscesb,pisces,Pisces (bootleg),19??,bootleg
uniwars,,UniWar S,1980,Irem
gteikoku,uniwars,Gingateikoku No Gyakushu,1980,Irem
gteikokb,uniwars,Gingateikoku No Gyakushu (bootleg set 1),1980,bootleg
gteikob2,uniwars,Gingateikoku No Gyakushu (bootleg set 2),1980,bootleg
spacbatt,uniwars,Space Battle,1980,bootleg
skyraidr,uniwars,Sky Raiders,1980,bootleg
batman2,phoenix,Batman Part 2,1981,bootleg
warofbug,,War of the Bugs or Monsterous Manouvers in a Mushroom Maze,1981,Armenia
redufo,,Defend the Terra Attack on the Red UFO,1981,bootleg
exodus,redufo,Exodus (bootleg[Q]),19??,Subelectro
streakng,,Streaking,1981,Shoei
pacmanbl,puckman,Pac-Man (Galaxian hardware),1981,bootleg
devilfsg,devilfsh,"Devil Fish (Galaxian hardware, bootleg[Q])",1984,Vision / Artic
zigzag,,"Zig Zag (Galaxian hardware, set 1)",1982,LAX
zigzag2,zigzag,"Zig Zag (Galaxian hardware, set 2)",1982,LAX
jumpbug,,Jump Bug,1981,Rock-ola
jumpbugb,jumpbug,Jump Bug (bootleg),1981,bootleg
levers,,Levers,1983,Rock-ola
azurian,,Azurian Attack,1982,Rait Electronics Ltd
orbitron,,Orbitron,1982,Signatron USA
mooncrgx,mooncrst,Moon Cresta (Galaxian hardware),1980,bootleg
mooncrst,,Moon Cresta (Nichibutsu),1980,Nichibutsu
mooncrsu,mooncrst,"Moon Cresta (Nichibutsu, unencrypted)",1980,Nichibutsu USA
mooncrsa,mooncrst,"Moon Cresta (Nichibutsu, old rev)",1980,Nichibutsu
mooncrsg,mooncrst,Moon Cresta (Gremlin),1980,Gremlin
smooncrs,mooncrst,Super Moon Cresta,1980?,Gremlin
mooncrsb,mooncrst,Moon Cresta (bootleg set 1),1980,bootleg
mooncrs2,mooncrst,Moon Cresta (bootleg set 2),1980,Nichibutsu
fantazia,mooncrst,Fantazia,1980,bootleg
moonqsr,,Moon Quasar,1980,Nichibutsu
mshuttle,,Moon Shuttle (US[Q]),1981,Nichibutsu
mshuttlj,mshuttle,Moon Shuttle (Japan),1981,Nichibutsu
moonal2,,Moon Alien Part 2,1980,Nichibutsu
